Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.99,1.32058007660867,1.0055857972765103,2.1429742221789225,32.38401,-94.71149,124.0
5C1,SSP245,0.99,0.8789497542486887,0.7085174477632604,1.3021062078285188,29.72393,-98.69464,422.1
NFW,SSP245,0.99,1.1574985876412405,0.9276598622068096,1.7973034466745124,32.78098,-97.43648,198.0
SNK,SSP245,0.99,1.339477660449128,1.0908899785830433,2.0253265641642035,32.69339,-100.95047,741.0
UVA,SSP245,0.99,1.0917790852884657,0.5650558619177904,2.1863346025335604,29.21133,-99.74358,287.0
BKS,SSP245,0.99,1.712319677796006,1.018010423033816,3.995295046617478,27.20667,-98.12111,34.0
GDJ,SSP245,0.99,1.4658855046014203,0.8014756616082838,3.199899258305329,32.44442,-97.81694,237.0
SLR,SSP245,0.99,1.0331290176186685,0.5473891502685554,1.5318492677036295,33.16,-95.62,149.0
TRL,SSP245,0.99,1.033652899987072,0.8643078900226967,1.320664161182102,32.71,-96.27,145.0
PRX,SSP245,0.99,1.005837080736992,0.7885781067501696,1.3356936955171352,33.63661,-95.45075,167.0
CLL,SSP245,0.99,1.0448771364765932,0.8389168552954656,1.322951861651449,30.58806,-96.36389,98.0
LRD,SSP245,0.99,0.6936095877928194,0.5038485797809276,1.14850169541687,27.5438,-99.46153,155.0
LZZ,SSP245,0.99,1.2089568111489866,0.7058736257635552,1.5868356064612847,31.10619,-98.19589,370.3
11R,SSP245,0.99,0.4076983865596009,0.3110791821217804,0.6354388932697906,30.21889,-96.37417,94.0
SEP,SSP245,0.99,1.3696635876282242,0.8482219161568119,2.544089808788726,32.21533,-98.17767,402.0
HQZ,SSP245,0.99,1.0975375084887822,0.909203815301866,1.332419174634601,32.74696,-96.53042,136.0
JXI,SSP245,0.99,1.5296390333601737,0.9875635683872772,2.999638114004359,32.7,-94.95,127.0
GDP,SSP245,0.99,0.4852613905329828,0.2779590215769548,0.9288985728107344,31.83312,-104.80978,1662.0
DFW,SSP245,0.99,0.8754401850075286,0.7601628907257248,1.115085888903529,32.89683,-97.038,182.0
LVJ,SSP245,0.99,1.030113872867856,0.7436645507373607,1.543858506326163,29.5189,-95.2417,13.164371
PWG,SSP245,0.99,0.3790951260787348,0.2712705087309057,0.6133541613860553,31.48492,-97.31653,180.0
HYI,SSP245,0.99,1.279186188307189,0.7456853731945404,2.715546145136827,29.89275,-97.863,182.0
BRO,SSP245,0.99,1.0897575396749977,0.7588658333521041,2.072680856332076,25.91461,-97.42313,6.0
3T5,SSP245,0.99,0.4474006762088556,0.360772447167724,0.6878799173989871,29.91,-96.95,99.0
GYB,SSP245,0.99,1.0260633145360245,0.699694585878456,1.461192767416883,30.17,-96.98,148.0
ADS,SSP245,0.99,1.6227970250312047,0.8907179988527144,4.48898094638742,32.96856,-96.83645,196.0
HLR,SSP245,0.99,1.301115119295953,0.8701610337498302,2.292938908415971,31.1387,-97.7145,283.0
AXH,SSP245,0.99,0.8810641649913378,0.6676269687399726,1.4869334873816853,29.50614,-95.47692,20.7
AFW,SSP245,0.99,1.228211179068549,0.9183734062305056,2.0403610378771404,32.9716,-97.31788,204.81914
GYI,SSP245,0.99,0.9286176530085596,0.6424401297657136,1.4985260246949272,33.71411,-96.67367,228.0
RAS,SSP245,0.99,1.2828828606112554,0.6923000439279954,2.3383139372563493,27.81,-97.09,2.0
TYR,SSP245,0.99,1.0829257532155652,0.8926482247228807,1.5462879037624868,32.35414,-95.40239,166.0
VCT,SSP245,0.99,1.0695685022021233,0.8410547117815603,1.6052615098612528,28.8614,-96.9303,36.0
COM,SSP245,0.99,1.1970738332559263,0.701604599285077,1.7469047778265108,31.84114,-99.40361,517.2
6R6,SSP245,0.99,1.0923673534571616,0.6623267101563599,1.7562587940783547,30.04602,-102.21291,702.0
ATT,SSP245,0.99,1.1101379097184714,0.9170351112110872,1.3613828915143078,30.32081,-97.76042,203.0
FST,SSP245,0.99,1.3622901469806823,1.0860104092661982,1.965594346414441,30.91194,-102.91667,917.0
UTS,SSP245,0.99,1.05627686270346,0.8674418065652365,1.4589745259499065,30.74689,-95.58717,112.0
INJ,SSP245,0.99,1.057043754374828,0.6416327374903097,1.4720288825602603,32.08361,-97.09722,209.0
ECU,SSP245,0.99,1.00327603177269,0.729935882662634,1.9263082938480016,29.94692,-100.17385,723.0
HRX,SSP245,0.99,1.2121651544755374,0.7901163427847785,2.554710662676866,34.85776,-102.32641,1153.0
JCT,SSP245,0.99,1.2751780850394794,1.0155650105308334,1.9068297485670505,30.51083,-99.76639,522.0
F05,SSP245,0.99,1.376853553661049,1.0619610270053428,2.2322484904048947,34.22567,-99.28375,386.0
RPH,SSP245,0.99,1.415285421589321,1.144989007709933,2.0729859235536887,33.11,-98.555,344.0
PIL,SSP245,0.99,1.1269873021302097,0.7179291393763408,2.1309634898106413,26.1597,-97.33781,6.0
