Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev,CV
GGG,SSP585,0.99,1.2741676235393906,1.0311919467447923,1.8783781507951405,32.38401,-94.71149,124.0,0.6648938400247757
5C1,SSP585,0.99,0.8311548015815305,0.6409067804263011,1.1137475293929342,29.72393,-98.69464,422.1,0.5688961286957694
NFW,SSP585,0.99,1.0996474964597012,0.8839795243208242,1.3912786943305016,32.78098,-97.43648,198.0,0.4613289000729048
SNK,SSP585,0.99,1.291635724109461,1.0224075491674958,1.8429353954384744,32.69339,-100.95047,741.0,0.6352625829056445
UVA,SSP585,0.99,1.2011364513411564,0.750409809051544,2.861087784355124,29.21133,-99.74358,287.0,1.7572341368433655
BKS,SSP585,0.99,1.7661217300962937,1.019211251177801,3.683035062525666,27.20667,-98.12111,34.0,1.508290037970727
GDJ,SSP585,0.99,1.5007098497353055,0.8968661581191348,2.374525743761445,32.44442,-97.81694,237.0,0.9846404259310613
SLR,SSP585,0.99,1.080247144729093,0.8597075865662914,1.6228800898055011,33.16,-95.62,149.0,0.7064795375419392
TRL,SSP585,0.99,1.1003583447743466,0.8739808797411971,1.5778669438477764,32.71,-96.27,145.0,0.6396880320391691
PRX,SSP585,0.99,1.018948238789664,0.78686541269372,1.3615580217418084,33.63661,-95.45075,167.0,0.5640056944705305
CLL,SSP585,0.99,1.0763524664040942,0.8636804813627438,1.3934110968887237,30.58806,-96.36389,98.0,0.49215348323186126
LRD,SSP585,0.99,0.7044637057904759,0.5069061587476671,1.244659595939006,27.5438,-99.46153,155.0,1.0472554244132546
LZZ,SSP585,0.99,1.2330341068756503,0.6971951962410461,1.6618403266376982,31.10619,-98.19589,370.3,0.782334507227005
11R,SSP585,0.99,0.4292742884032435,0.3125503049712184,0.6947355791776515,30.21889,-96.37417,94.0,0.890305533154651
SEP,SSP585,0.99,1.4510722322107488,0.8876369453098242,2.4781568933512914,32.21533,-98.17767,402.0,1.096099775555808
HQZ,SSP585,0.99,1.1538123917634733,0.8742629233598609,1.8036431768521783,32.74696,-96.53042,136.0,0.8054864552736026
JXI,SSP585,0.99,1.416269742795869,0.9963738747930614,2.442924864299009,32.7,-94.95,127.0,1.0213809882362523
GDP,SSP585,0.99,0.4415135911753262,0.2771931790929469,0.7845076571553291,31.83312,-104.80978,1662.0,1.149034793497277
DFW,SSP585,0.99,0.8958675367004675,0.7958994059698292,1.106370854721186,32.89683,-97.038,182.0,0.3465595481836982
LVJ,SSP585,0.99,1.0406544690458466,0.7526803719915924,1.732627281346285,29.5189,-95.2417,13.164371,0.9416640570939792
PWG,SSP585,0.99,0.3838836554063952,0.2723063470494815,0.6335901203481528,31.48492,-97.31653,180.0,0.9411283033558729
HYI,SSP585,0.99,1.180758893673744,0.7273626749185159,1.9579667131532748,29.89275,-97.863,182.0,1.0422144985128416
BRO,SSP585,0.99,1.0524347361612876,0.858562017765391,1.4323985407970368,25.91461,-97.42313,6.0,0.5452466583578293
3T5,SSP585,0.99,0.4746588709317718,0.3579716684794048,0.7544726499022697,29.91,-96.95,99.0,0.8353388205818628
GYB,SSP585,0.99,0.986306293242004,0.723484522831635,1.553632769865837,30.17,-96.98,148.0,0.8416738823651747
ADS,SSP585,0.99,1.444478463406185,0.9115308626674598,2.666678265807377,32.96856,-96.83645,196.0,1.2150734314176985
HLR,SSP585,0.99,1.241537929943307,0.8690571558529268,2.0954655523585366,31.1387,-97.7145,283.0,0.9878138773912546
AXH,SSP585,0.99,0.9328380635956526,0.6753385917445505,1.7196698167934397,29.50614,-95.47692,20.7,1.119520381730011
AFW,SSP585,0.99,1.2341157457694625,0.8460325372855205,1.9192978309013564,32.9716,-97.31788,204.81914,0.8696633985061607
GYI,SSP585,0.99,1.0898560600327405,0.7104920427400204,2.3065381429882565,33.71411,-96.67367,228.0,1.464455866034538
RAS,SSP585,0.99,1.1863963146194807,0.6355730248395904,2.0567590438861125,27.81,-97.09,2.0,1.1979015793742978
TYR,SSP585,0.99,1.1240942968337884,0.8217182447866103,1.7356615696956232,32.35414,-95.40239,166.0,0.8130486272221975
VCT,SSP585,0.99,1.0560322198782075,0.8092778163978895,1.5800295619878992,28.8614,-96.9303,36.0,0.7298562781341091
COM,SSP585,0.99,1.2185181840521504,0.6737704430741889,1.753893119263272,31.84114,-99.40361,517.2,0.886423108268408
6R6,SSP585,0.99,1.1169341738149028,0.7603302519298984,1.6545928789741722,30.04602,-102.21291,702.0,0.8006404029969899
ATT,SSP585,0.99,1.0709650603785297,0.9348899753560256,1.196983781738738,30.32081,-97.76042,203.0,0.24472675727635426
FST,SSP585,0.99,1.3171967521556047,1.0938697259339414,1.775185062350746,30.91194,-102.91667,917.0,0.5172464442398796
UTS,SSP585,0.99,1.127022858827336,0.8457690995933853,1.7209903246982896,30.74689,-95.58717,112.0,0.7765780598412789
INJ,SSP585,0.99,1.0615345638514349,0.6624594470356954,1.4717267924224238,32.08361,-97.09722,209.0,0.7623560955477169
ECU,SSP585,0.99,1.042440043538858,0.7164940719095235,1.9384601474212493,29.94692,-100.17385,723.0,1.1722171294988015
HRX,SSP585,0.99,1.494161732689634,0.9415181477608204,2.9379750089713883,34.85776,-102.32641,1153.0,1.336171859800448
