Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.9,4.864362609330516,4.41931244987062,5.500557218320074,32.38401,-94.71149,124.0
5C1,SSP245,0.9,4.516883663742688,4.171342249151868,4.994232915624802,29.72393,-98.69464,422.1
NFW,SSP245,0.9,4.526639045888068,3.84195781045806,5.26639956200242,32.78098,-97.43648,198.0
SNK,SSP245,0.9,3.857950266040137,3.407865291820239,4.2790253782849454,32.69339,-100.95047,741.0
UVA,SSP245,0.9,3.688383221130789,3.020728397694193,4.286390952592111,29.21133,-99.74358,287.0
BKS,SSP245,0.9,3.792758246666567,3.152135444293074,4.7309248763089125,27.20667,-98.12111,34.0
GDJ,SSP245,0.9,4.558976057804808,3.9794565976457785,5.602638087966852,32.44442,-97.81694,237.0
SLR,SSP245,0.9,4.276134656338743,3.8568236294935354,5.061595801437884,33.16,-95.62,149.0
TRL,SSP245,0.9,4.86488343113494,4.526560905832522,5.387572901850196,32.71,-96.27,145.0
PRX,SSP245,0.9,4.977045236268397,4.288819306372265,5.741640320486423,33.63661,-95.45075,167.0
CLL,SSP245,0.9,4.863650953425803,4.405211456436085,5.376306152861352,30.58806,-96.36389,98.0
LRD,SSP245,0.9,4.09915357002504,3.5903995521577583,4.479132757194009,27.5438,-99.46153,155.0
LZZ,SSP245,0.9,4.5894557257273725,4.107734118164239,5.14313249394149,31.10619,-98.19589,370.3
11R,SSP245,0.9,4.710342952496445,4.070142592317579,5.478991173518755,30.21889,-96.37417,94.0
SEP,SSP245,0.9,4.465012900383538,3.77308330453395,5.4294351777363055,32.21533,-98.17767,402.0
HQZ,SSP245,0.9,4.511284695911503,3.8501525814389623,4.982385597657349,32.74696,-96.53042,136.0
JXI,SSP245,0.9,4.269645725788397,3.4203082015859545,5.116308285196171,32.7,-94.95,127.0
GDP,SSP245,0.9,2.74663394342156,2.110607056302696,3.332370354754348,31.83312,-104.80978,1662.0
DFW,SSP245,0.9,4.675069663121836,4.291261779702951,4.99201423922118,32.89683,-97.038,182.0
LVJ,SSP245,0.9,5.042319018857068,4.337500864029535,5.839631620077549,29.5189,-95.2417,13.164371
PWG,SSP245,0.9,4.965474939486141,4.384423330591128,5.705916507407475,31.48492,-97.31653,180.0
HYI,SSP245,0.9,5.58064339988127,4.420048308070934,6.5874122701867615,29.89275,-97.863,182.0
BRO,SSP245,0.9,4.523669645180127,4.195853976446326,4.82248259138245,25.91461,-97.42313,6.0
3T5,SSP245,0.9,4.622870966623033,3.887224264969805,5.582163411487474,29.91,-96.95,99.0
GYB,SSP245,0.9,4.236780137243583,3.683473607539198,4.949985285408388,30.17,-96.98,148.0
ADS,SSP245,0.9,4.102258261322105,2.7523009549767363,6.039072378006849,32.96856,-96.83645,196.0
HLR,SSP245,0.9,5.228259834384255,4.24914764376202,6.0921347804793,31.1387,-97.7145,283.0
AXH,SSP245,0.9,4.573569451302032,3.9303446674230575,5.329701087425006,29.50614,-95.47692,20.7
AFW,SSP245,0.9,4.740687553909917,4.354608047636677,5.301768996747913,32.9716,-97.31788,204.81914
GYI,SSP245,0.9,4.7654598523383696,4.098450066326154,5.999322217180104,33.71411,-96.67367,228.0
RAS,SSP245,0.9,4.485296749584226,3.8043386455693113,5.197965022547644,27.81,-97.09,2.0
TYR,SSP245,0.9,4.753259869753358,4.383796780529934,5.210265461919143,32.35414,-95.40239,166.0
VCT,SSP245,0.9,4.984889128923139,4.460874605907088,5.691608352084848,28.8614,-96.9303,36.0
COM,SSP245,0.9,4.201263317921755,3.5440247539822844,4.83354329903124,31.84114,-99.40361,517.2
6R6,SSP245,0.9,2.826969727921266,2.2937388370264795,3.237117434503829,30.04602,-102.21291,702.0
ATT,SSP245,0.9,4.760905228578928,4.4114083344212505,5.067313703168065,30.32081,-97.76042,203.0
FST,SSP245,0.9,2.864650170699929,2.226562916007384,3.3794038074558466,30.91194,-102.91667,917.0
UTS,SSP245,0.9,5.210076638319664,4.584090431706031,5.763816920026452,30.74689,-95.58717,112.0
INJ,SSP245,0.9,4.490619634459774,4.083340869082933,4.993612444632277,32.08361,-97.09722,209.0
ECU,SSP245,0.9,3.628255221815146,3.09908091335153,4.267432674308591,29.94692,-100.17385,723.0
HRX,SSP245,0.9,3.4238501691179257,2.9380140720835506,4.483083291524039,34.85776,-102.32641,1153.0
JCT,SSP245,0.9,3.7268080848966423,3.1839148604881493,4.339534135191957,30.51083,-99.76639,522.0
F05,SSP245,0.9,3.9979757214835145,3.40982359744228,4.859412034807276,34.22567,-99.28375,386.0
RPH,SSP245,0.9,4.400201486121271,3.883738243703528,5.003112809153071,33.11,-98.555,344.0
