Station,return_period,GEV,Gumble,mean,lat,lon,elev
GGG,0.9,4.768308391733525,4.980387143985624,4.874347767859574,32.38401,-94.71149,124.0
5C1,0.9,5.21909739770059,4.7265028304352406,4.9728001140679154,29.72393,-98.69464,422.1
NFW,0.9,4.2042887504892015,4.410868096331453,4.307578423410327,32.78098,-97.43648,198.0
SNK,0.9,3.327831173748063,3.683311251302601,3.505571212525332,32.69339,-100.95047,741.0
UVA,0.9,4.376481198381997,4.027012731075004,4.201746964728501,29.21133,-99.74358,287.0
BKS,0.9,3.584084261378762,3.749031104915401,3.6665576831470816,27.20667,-98.12111,34.0
GDJ,0.9,3.924435266156349,4.481461735080239,4.202948500618294,32.44442,-97.81694,237.0
SLR,0.9,4.437203273168857,4.145600975779678,4.291402124474267,33.16,-95.62,149.0
TRL,0.9,5.277897016378619,4.973986034197559,5.125941525288089,32.71,-96.27,145.0
PRX,0.9,6.313078715758339,6.051991355046594,6.182535035402466,33.63661,-95.45075,167.0
CLL,0.9,5.056967414459624,5.224268306865209,5.140617860662417,30.58806,-96.36389,98.0
LRD,0.9,5.457461883693576,3.9854365854754352,4.721449234584505,27.5438,-99.46153,155.0
LZZ,0.9,3.849757725980536,4.535322991805016,4.192540358892776,31.10619,-98.19589,370.3
11R,0.9,7.552523984088051,4.757464349998125,6.154994167043088,30.21889,-96.37417,94.0
SEP,0.9,4.121274842049893,4.211876724227587,4.16657578313874,32.21533,-98.17767,402.0
HQZ,0.9,4.0945182751710805,4.03009345857933,4.062305866875205,32.74696,-96.53042,136.0
JXI,0.9,3.734821354101418,3.9564985721477983,3.845659963124608,32.7,-94.95,127.0
GDP,0.9,6.4892658627771285,3.552441232602386,5.020853547689757,31.83312,-104.80978,1662.0
DFW,0.9,5.332718455643787,4.925295221511592,5.1290068385776895,32.89683,-97.038,182.0
LVJ,0.9,6.527329103569162,6.04529471340728,6.286311908488221,29.5189,-95.2417,13.164371
PWG,0.9,8.603868314974056,5.474630512126439,7.039249413550247,31.48492,-97.31653,180.0
HYI,0.9,5.977610876988395,5.672997517729183,5.825304197358789,29.89275,-97.863,182.0
BRO,0.9,5.124587184816278,4.9805608468280695,5.052574015822174,25.91461,-97.42313,6.0
3T5,0.9,6.846824591833652,4.55522124209922,5.701022916966436,29.91,-96.95,99.0
GYB,0.9,4.652867564435894,4.011582281360381,4.3322249228981375,30.17,-96.98,148.0
ADS,0.9,3.269759428639147,3.337752195526277,3.303755812082712,32.96856,-96.83645,196.0
HLR,0.9,5.076439406566949,4.805235502919849,4.940837454743399,31.1387,-97.7145,283.0
AXH,0.9,5.4887394801822005,4.7353049021662965,5.1120221911742485,29.50614,-95.47692,20.7
AFW,0.9,4.309060754750369,4.7421467609058965,4.525603757828133,32.9716,-97.31788,204.81914
GYI,0.9,4.996515662557057,4.3388225542787255,4.667669108417892,33.71411,-96.67367,228.0
RAS,0.9,4.989282815167698,4.968357119699807,4.978819967433752,27.81,-97.09,2.0
TYR,0.9,5.09902914548219,4.995423343626441,5.047226244554315,32.35414,-95.40239,166.0
VCT,0.9,5.593898728421091,5.2490253395204585,5.421462033970775,28.8614,-96.9303,36.0
COM,0.9,3.946818168434017,4.15822520259225,4.052521685513134,31.84114,-99.40361,517.2
6R6,0.9,3.672411753308922,3.616879362256841,3.644645557782881,30.04602,-102.21291,702.0
ATT,0.9,4.7328978492115255,4.880054123869337,4.806475986540431,30.32081,-97.76042,203.0
FST,0.9,3.1578696041327,3.4583550438824187,3.3081123240075594,30.91194,-102.91667,917.0
UTS,0.9,5.598923198976402,5.60534559490998,5.602134396943191,30.74689,-95.58717,112.0
INJ,0.9,4.3282146886512285,4.29301531809635,4.310615003373789,32.08361,-97.09722,209.0
ECU,0.9,4.236670970884036,3.78543602548808,4.011053498186058,29.94692,-100.17385,723.0
HRX,0.9,3.205090506156493,3.133275482486335,3.169182994321414,34.85776,-102.32641,1153.0
JCT,0.9,3.966911019428905,4.177595527553323,4.072253273491114,30.51083,-99.76639,522.0
F05,0.9,3.461323255740125,3.895583772111449,3.678453513925787,34.22567,-99.28375,386.0
RPH,0.9,3.742855449179706,4.225339068574352,3.984097258877029,33.11,-98.555,344.0
PIL,0.9,5.55527818284385,4.820477945506266,5.187878064175058,26.1597,-97.33781,6.0
RKP,0.9,5.859599220823233,5.364947151545075,5.612273186184154,28.08361,-97.04639,8.0
T82,0.9,4.234322538972332,4.342180493118295,4.288251516045314,30.24325,-98.90919,517.0
PEZ,0.9,4.125292522309855,4.258965949397366,4.19212923585361,28.95419,-98.51998,131.1
SJT,0.9,4.050256445909422,4.101484421669997,4.07587043378971,31.35167,-100.495,582.0
AQO,0.9,3.38275583492637,3.761585145661848,3.572170490294109,30.78361,-98.66194,336.0
LUD,0.9,3.9688419998797406,4.414750910258478,4.19179645506911,33.25425,-97.5805,319.0
PYX,0.9,3.316548963237393,3.3899796154529,3.3532642893451463,36.414,-100.75,889.0
GPM,0.9,3.686370118950381,3.814383555142407,3.750376837046394,32.69878,-97.04692,180.0
BPC,0.9,3.453768267503225,3.4576197009409304,3.455693984222078,35.88928,-101.03014,845.0
BKD,0.9,5.842412620958905,4.0261834152994815,4.934298018129193,32.71905,-98.891,391.4
PSX,0.9,5.531992302057684,5.851068964698014,5.691530633377848,28.73,-96.25,5.0
COT,0.9,4.120086277102359,4.308984866875243,4.214535571988801,28.45667,-99.21833,144.0
CRP,0.9,5.217557426389412,5.148981848655475,5.183269637522443,27.77306,-97.51278,13.0
GOP,0.9,4.27713306280449,4.093977530398848,4.1855552966016685,31.42128,-97.79697,276.0
SWW,0.9,4.583647095349958,4.0399501803399005,4.311798637844929,32.46736,-100.46656,727.0
MAF,0.9,3.622048686182355,3.7068503633270575,3.664449524754706,31.94662,-102.20745,868.9406
MCJ,0.9,5.343285883807941,5.7562461505189,5.549766017163421,29.714,-95.395,22.525835
ERV,0.9,4.556613623610623,3.934825643166811,4.245719633388717,29.97667,-99.08547,493.0
JDD,0.9,4.015529852972657,4.030329054628627,4.022929453800642,32.7422,-95.49648,132.0
MKN,0.9,4.228760536867646,4.216712500172807,4.222736518520226,31.92,-98.6,423.0
MNZ,0.9,3.243196440516309,3.824798855772495,3.533997648144402,31.66593,-98.14864,395.9
RWV,0.9,4.854715295247837,4.319545872695076,4.587130583971456,30.51547,-96.70409,119.0
SSF,0.9,5.095341662494159,5.006246673617806,5.050794168055982,29.33698,-98.47105,176.0
HOU,0.9,6.4836508176655965,6.032019285327673,6.2578350514966345,29.63747,-95.28245,14.0
LBB,0.9,4.6926983254102375,4.054340841614084,4.373519583512161,33.66364,-101.82278,988.0
NGP,0.9,5.412447658620228,5.260932415765689,5.336690037192959,27.69263,-97.29109,6.0
FTN,0.9,3.548865303478512,3.529857274974275,3.539361289226393,28.2086,-100.0188,236.0
FTW,0.9,4.789743518375734,4.654645187605167,4.722194352990451,32.81978,-97.36244,216.0
ALI,0.9,5.629213771861243,4.903370628014337,5.266292199937791,27.74089,-98.02694,54.0
BEA,0.9,4.580917063253355,3.818361245760502,4.1996391545069285,28.36187,-97.79103,81.7
